Trainning ...
Done traning
error = 2.11790696774059E-5
error = 2.1151963537661623E-5
error = 2.1124924522934297E-5
error = 2.1097952386921732E-5
error = 2.1071046884520313E-5
error = 2.1044207771817665E-5
error = 2.101743480608131E-5
error = 2.0990727745757713E-5
error = 2.0964086350461017E-5
error = 2.0937510380966507E-5
error = 2.091099959920496E-5
error = 2.088455376825538E-5
error = 2.085817265233575E-5
error = 2.0831856016801165E-5
error = 2.0805603628131794E-5
error = 2.0779415253927373E-5
error = 2.0753290662905978E-5
error = 2.0727229624888148E-5
error = 2.0701231910797295E-5
error = 2.0675297292650605E-5
error = 2.0649425543552258E-5
error = 2.062361643768841E-5
error = 2.0597869750318244E-5
error = 2.0572185257772324E-5
error = 2.0546562737440575E-5
error = 2.05210019677685E-5
error = 2.0495502728252578E-5
error = 2.0470064799431892E-5
error = 2.0444687962882903E-5
error = 2.0419372001212097E-5
error = 2.0394116698052387E-5
error = 2.0368921838054647E-5
error = 2.0343787206883472E-5
error = 2.031871259120966E-5
error = 2.029369777870551E-5
error = 2.0268742558039007E-5
error = 2.02438467188668E-5
error = 2.0219010051830442E-5
error = 2.019423234854831E-5
error = 2.016951340161052E-5
error = 2.0144853004576596E-5
error = 2.0120250951964938E-5
error = 2.00957070392501E-5
error = 2.0071221062854923E-5
error = 2.0046792820149156E-5
error = 2.002242210944104E-5
error = 1.999810872997083E-5
error = 1.99738524819088E-5
error = 1.9949653166346667E-5
error = 1.992551058529381E-5
error = 1.9901424541674034E-5
error = 1.987739483931494E-5
error = 1.9853421282948106E-5
error = 1.9829503678200526E-5
error = 1.9805641831593E-5
error = 1.9781835550529386E-5
error = 1.9758084643297118E-5
error = 1.9734388919061406E-5
error = 1.971074818785565E-5
error = 1.968716226058032E-5
error = 1.9663630948999635E-5
error = 1.964015406573218E-5
error = 1.9616731424249523E-5
error = 1.9593362838869797E-5
error = 1.957004812475241E-5
error = 1.9546787097897126E-5
error = 1.952357957513269E-5
error = 1.9500425374117237E-5
error = 1.94773243133332E-5
error = 1.945427621208083E-5
error = 1.943128089047555E-5
error = 1.9408338169439785E-5
error = 1.9385447870702586E-5
error = 1.9362609816794275E-5
error = 1.933982383104085E-5
error = 1.931708973755813E-5
error = 1.9294407361251497E-5
